Na-Cl,
X,Y
0.079101502,0
0.208693324,0
0.338285146,0
0.467876968,0
0.59746879,0
0.727060612,0
0.856652434,0
0.986244256,0
1.115836079,0
1.245427901,0
1.375019723,0
1.504611545,0
1.634203367,0
1.763795189,0
1.893387011,0
2.022978833,0.016839336
2.136138351,0.073403864
2.200873062,0.156325973
2.219993083,0.225618834
2.250284275,0.293895687
2.26841789,0.391522561
2.282162477,0.474183274
2.302583007,0.615351936
2.328562572,0.732130935
2.340226346,0.806500585
2.345326378,0.900971981
2.364630001,0.985390436
2.376411075,1.083880667
2.381460107,1.173326947
2.394082687,1.28789742
2.4117543,1.354728244
2.416172203,1.445305297
2.424351379,1.555228371
2.429425912,1.632614345
2.441206986,1.70648146
2.443493501,1.789730608
2.452988061,1.914016917
2.458878599,1.970297209
2.470659673,2.056124123
2.475077576,2.148811729
2.488331285,2.279839369
2.49848035,2.434611316
2.507685908,2.503453794
2.51270944,2.673804601
2.517783972,2.751190575
2.527933037,2.828575588
2.541346122,2.888762885
2.547236659,2.983345801
2.553127196,3.114667968
2.569326174,3.300803929
2.582579883,3.440625539
2.600251495,3.515734116
2.616941351,3.602428077
2.628709676,3.689779282
2.66881293,3.818963098
2.717883742,3.737374697
2.753405467,3.641799216
2.7586415,3.558235969
2.782858154,3.481039869
2.799623529,3.370773841
2.814123314,3.233585165
2.829982453,3.137362602
2.854526358,3.005956502
2.880855275,2.783099884
2.919518621,2.60196876
2.947138696,2.434526343
2.976067779,2.267083678
3.010447098,2.091709419
3.047932335,2.001341424
3.047932335,1.924959515
3.077385022,1.827215243
3.095056634,1.663443052
3.136290396,1.55450727
3.17163362,1.432725031
3.194541265,1.326048443
3.230538994,1.250804327
3.259085444,1.148382995
3.320206063,1.057124587
3.329369121,0.977000015
3.40317705,0.880748438
3.466160488,0.775533571
3.533480916,0.692204238
3.629786526,0.609550599
3.754796819,0.554382514
3.846100149,0.510528615
3.966856165,0.489426865
4.096447987,0.476930873
4.226039809,0.474987645
4.348058083,0.483004736
4.485223453,0.521626542
4.614815275,0.563813054
4.744407097,0.612075399
4.878907701,0.671555788
4.989997194,0.730273957
5.118259869,0.812741612
5.237826227,0.891319814
5.353557962,0.975306172
5.467210683,1.066741933
5.583635421,1.144934485
5.709215113,1.223952971
5.840047048,1.299716224
5.96963887,1.339344489
6.099230692,1.352111174
6.228822514,1.340574524
6.360938852,1.292422504
6.483474976,1.246805945
6.61445636,1.185088057
6.727554678,1.13441337
6.86500055,1.075036037
6.954013115,1.025168917
7.077059895,0.982579246
7.174842815,0.941564838
7.300900315,0.911865312
7.430492137,0.87698467
7.560083959,0.856174379
7.689675781,0.836643211
7.819267603,0.833101079
7.948859426,0.833076535
8.078451248,0.838808044
8.20804307,0.849656045
8.337634892,0.868818344
8.467226714,0.887341082
8.596818536,0.91481768
8.726410358,0.945492086
8.85600218,0.980643421
8.985594002,1.012277169
9.115185824,1.045829601
9.244777647,1.066910584
9.374369469,1.090549814
9.503961291,1.105874745
9.633553113,1.1141645
9.763144935,1.114139956
9.892736757,1.109958262
10.02232858,1.098421612
10.1519204,1.077611322
10.28151222,1.06511533
10.41110405,1.045264381
10.54069587,1.025413432
10.67028769,1.004283361
10.79987951,0.983792851
10.92947133,0.964901244
11.05906316,0.958481086
11.18865498,0.942467506
11.3182468,0.935088005
11.44783862,0.928667847
11.57743044,0.92736418
11.70702227,0.928298978
11.83661409,0.938507418
11.96620591,0.944878488
12.09579773,0.953488024
12.22538955,0.962737121
12.35498138,0.981259859
12.4845732,0.995945228
12.61416502,1.001996518
12.74375684,1.017641229
12.87334867,1.027849668
13.00294049,1.039657011
13.13253231,1.039952248
13.26212413,1.046323319
13.39171595,1.043740529
13.52130778,1.042117081
13.6508996,1.039534292
13.78049142,1.037591063
13.91008324,1.026374194
14.03967506,1.021233159
14.16926689,1.002341552
14.29885871,1.000718105
14.42845053,0.995577069
14.55804235,0.983081077
14.68763417,0.978259823
14.817226,0.968322076
14.94681782,0.96286126
15.07640964,0.962516936
15.20600146,0.96185283
15.33559329,0.961828286
15.46518511,0.964361988
15.59477693,0.968174813
15.72436875,0.982860182
15.85396057,0.982835638
15.95409971,0.982230408
